,,,,family,,,Uniprot,
PF05392,Cytochrome C oxidase chain VIIB,pfam,family,IPR008433,-,-,P24311,80
PF00996,GDP dissociation inhibitor,pfam,family,IPR018203,-,-,P24386,653
PF05428,Corticotropin-releasing factor binding protein (CRF-BP),pfam,family,IPR008435,-,-,P24387,322
PF05405,Mitochondrial ATP synthase B chain precursor (ATP-synt_B),pfam,family,IPR008688,-,-,P24539,256
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P25189,248
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,P25786,263
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,P25787,234
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,P25788,255
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,P25789,261
PF01044,Vinculin family,pfam,family,IPR006077,-,-,P26232,953
PF01294,Ribosomal protein L13e,pfam,family,IPR001380,-,-,P26373,211
PF00996,GDP dissociation inhibitor,pfam,family,IPR018203,-,-,P26374,656
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,P27105,288
PF00137,ATP synthase subunit C,pfam,family,IPR002379,-,-,P27449,155
PF08646,Replication factor-A C terminal domain,pfam,family,IPR013955,-,-,P27694,616
PF16204,BDHCT-box associated domain on Bloom syndrome protein,pfam,family,IPR032439,-,-,P27694,616
PF00335,Tetraspanin family,pfam,family,IPR018499,-,-,P27701,267
PF00262,Calreticulin family,pfam,family,IPR001580,-,-,P27797,417
PF00418,"Tau and MAP protein, tubulin-binding repeat",pfam,family,IPR001084,-,-,P27816,1152
PF00262,Calreticulin family,pfam,family,IPR001580,-,-,P27824,592
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,P27986,724
PF02192,"PI3-kinase family, p85-binding domain",pfam,family,IPR003113,-,-,P27986,724
PF03770,Inositol polyphosphate kinase,pfam,family,IPR005522,-,-,P27987,946
PF10584,Proteasome subunit A N-terminal signature,pfam,family,IPR000426,-,-,P28066,241
PF06472,ABC transporter transmembrane region 2,pfam,family,IPR011527,-,-,P28288,659
PF03250,Tropomodulin,pfam,family,IPR004934,-,-,P28289,359
PF00384,Molybdopterin oxidoreductase,pfam,family,IPR006656,-,-,P28331,727
PF09326,"NADH-ubiquinone oxidoreductase subunit G, C-terminal",pfam,family,IPR015405,-,-,P28331,727
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P28472,473
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P28472,473
PF07361,Cytochrome b562,pfam,family,IPR009155,-,-,P28472,473
PF01483,Proprotein convertase P-domain,pfam,family,IPR002884,-,-,P29120,753
PF12580,Tripeptidyl peptidase II,pfam,family,IPR022229,-,-,P29144,1249
PF00459,Inositol monophosphatase family,pfam,family,IPR000760,-,-,P29218,277
PF02205,WH2 motif,pfam,family,IPR003124,-,-,P29536,600
PF03250,Tropomodulin,pfam,family,IPR004934,-,-,P29536,600
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P29590,882
PF12126,Protein of unknown function (DUF3583),pfam,family,IPR021978,-,-,P29590,882
PF02063,MARCKS family,pfam,family,IPR002101,-,-,P29966,332
PF00230,Major intrinsic protein,pfam,family,IPR000425,-,-,P29972,269
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P30038,563
PF02567,Phenazine biosynthesis-like protein,pfam,family,IPR003719,-,-,P30039,288
PF11628,T-cell surface glycoprotein CD3 zeta chain,pfam,family,IPR021663,-,-,P30273,86
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,P30531,599
PF03073,TspO/MBR family,pfam,family,IPR004307,-,-,P30536,169
PF16641,CLIP1 zinc knuckle,pfam,family,IPR032108,-,-,P30622,1438
PF13520,Amino acid permease,pfam,family,IPR002293,-,-,P30825,629
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P30837,517
PF00001,7 transmembrane receptor (rhodopsin family),pfam,family,IPR000276,-,-,P30874,369
PF07361,Cytochrome b562,pfam,family,IPR009155,-,-,P30874,369
PF04563,RNA polymerase beta subunit,pfam,family,IPR007644,-,-,P30876,1174
PF00890,FAD binding domain,pfam,family,IPR003953,-,-,P31040,664
PF00996,GDP dissociation inhibitor,pfam,family,IPR018203,-,-,P31150,447
PF01034,Syndecan domain,pfam,family,IPR027789,-,-,P31431,198
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P31644,462
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P31644,462
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,P31749,480
PF00675,Insulinase (Peptidase family M16),pfam,family,IPR011765,-,-,P31930,480
PF01808,AICARFT/IMPCHase bienzyme,pfam,family,IPR002695,-,-,P31939,592
PF01699,Sodium/calcium exchanger protein,pfam,family,IPR004837,-,-,P32418,973
PF16494,C-terminal extension of sodium/calcium exchanger domain,pfam,family,IPR032452,-,-,P32418,973
PF05739,SNARE domain,pfam,family,IPR000727,-,-,P32856,288
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,P33121,698
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P34059,522
PF01034,Syndecan domain,pfam,family,IPR027789,-,-,P34741,201
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P34903,492
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P34903,492
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P34931,641
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P34932,840
PF01153,Glypican,pfam,family,IPR001863,-,-,P35052,558
PF01044,Vinculin family,pfam,family,IPR006077,-,-,P35221,906
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,P35232,272
PF01776,Ribosomal L22e protein family,pfam,family,IPR002671,-,-,P35268,128
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,P35498,2009
PF06512,Sodium ion transport-associated,pfam,family,IPR010526,-,-,P35498,2009
PF11933,Cytoplasmic domain of voltage-gated Na+ ion channel,pfam,family,IPR024583,-,-,P35498,2009
PF00291,Pyridoxal-phosphate dependent enzyme,pfam,family,IPR001926,-,-,P35520,551
PF14699,N-terminal domain from the human glycogen debranching enzyme,pfam,family,IPR029436,-,-,P35573,1532
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P35658,2090
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,P35813,382
PF16208,Keratin type II head,pfam,family,IPR032444,-,-,P35908,639
PF01991,ATP synthase (E/31 kDa) subunit,pfam,family,IPR002842,-,-,P36543,226
PF01218,Coproporphyrinogen III oxidase,pfam,family,IPR001260,-,-,P36551,454
PF00573,Ribosomal protein L4/L1 family,pfam,family,IPR002136,-,-,P36578,427
PF02190,ATP-dependent protease La (LON) substrate-binding domain,pfam,family,IPR003111,-,-,P36776,959
PF16891,Serine-threonine protein phosphatase N-terminal domain,pfam,family,IPR031675,-,-,P36873,323
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,P36915,607
PF05064,Nsp1-like C-terminal region,pfam,family,IPR007758,-,-,P37198,522
PF01387,Synuclein,pfam,family,IPR001058,-,-,P37840,140
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P37840,140
PF08081,RBM1CTR (NUC064) family,pfam,family,IPR012604,-,-,P38159,391
PF16886,ATPsynthase alpha/beta subunit N-term extension,pfam,family,IPR031686,-,-,P38606,617
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P38646,679
PF01090,Ribosomal protein S19e,pfam,family,IPR001266,-,-,P39019,145
PF00297,Ribosomal protein L3,pfam,family,IPR000597,-,-,P39023,403
PF04117,Mpv17 / PMP22 family,pfam,family,IPR007248,-,-,P39210,176
PF03345,Oligosaccharyltransferase 48 kDa subunit beta,pfam,family,IPR005013,-,-,P39656,456
PF00752,XPG N-terminal domain,pfam,family,IPR006085,-,-,P39748,380
PF00867,XPG I-region,pfam,family,IPR006086,-,-,P39748,380
PF01213,Adenylate cyclase associated (CAP) N terminal,pfam,family,IPR013992,-,-,P40123,477
PF08603,Adenylate cyclase associated (CAP) C terminal,pfam,family,IPR013912,-,-,P40123,477
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P40227,531
PF12465,Proteasome beta subunits C terminal,pfam,family,IPR024689,-,-,P40306,273
PF00572,Ribosomal protein L13,pfam,family,IPR005822,-,-,P40429,203
PF01017,"STAT protein, all-alpha domain",pfam,family,IPR013800,-,-,P40763,770
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,P40818,1118
PF04614,Pex19 protein family,pfam,family,IPR006708,-,-,P40855,299
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P41218,407
PF02760,HIN-200/IF120x domain,pfam,family,IPR004021,-,-,P41218,407
PF00583,Acetyltransferase (GNAT) family,pfam,family,IPR000182,-,-,P41227,235
PF04979,Protein phosphatase inhibitor 2 (IPP-2),pfam,family,IPR007062,-,-,P41236,205
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,P41586,468
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P41586,468
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,P41586,468
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,P41594,1212
PF07562,Nine Cysteines Domain of family 3 GPCR,pfam,family,IPR011500,-,-,P41594,1212
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,P41743,596
PF00022,Actin,pfam,family,IPR004000,-,-,P42025,376
PF11560,Lamina-associated polypeptide 2 alpha,pfam,family,IPR021623,-,-,P42166,694
PF01017,"STAT protein, all-alpha domain",pfam,family,IPR013800,-,-,P42224,750
PF01017,"STAT protein, all-alpha domain",pfam,family,IPR013800,-,-,P42226,847
PF14596,STAT6 C-terminal,pfam,family,IPR028187,-,-,P42226,847
PF00060,Ligand-gated ion channel,pfam,family,IPR001320,-,-,P42261,906
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,P42261,906
PF00060,Ligand-gated ion channel,pfam,family,IPR001320,-,-,P42262,883
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,P42262,883
PF00060,Ligand-gated ion channel,pfam,family,IPR001320,-,-,P42263,894
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,P42263,894
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,P42336,1068
PF02192,"PI3-kinase family, p85-binding domain",pfam,family,IPR003113,-,-,P42336,1068
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,P42338,1070
PF02192,"PI3-kinase family, p85-binding domain",pfam,family,IPR003113,-,-,P42338,1070
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,P42356,2102
PF19274,PI4-kinase N-terminal region,pfam,family,IPR045495,-,-,P42356,2102
PF12763,Cytoskeletal-regulatory complex EF hand,pfam,family,IPR000261,-,-,P42566,896
PF01667,Ribosomal protein S27,pfam,family,IPR000592,-,-,P42677,84
PF00831,Ribosomal L29 protein,pfam,family,IPR001854,-,-,P42766,123
PF01431,Peptidase family M13,pfam,family,IPR018497,-,-,P42892,770
PF05649,Peptidase family M13,pfam,family,IPR008753,-,-,P42892,770
PF00375,Sodium:dicarboxylate symporter family,pfam,family,IPR001991,-,-,P43003,542
PF00375,Sodium:dicarboxylate symporter family,pfam,family,IPR001991,-,-,P43004,574
PF00375,Sodium:dicarboxylate symporter family,pfam,family,IPR001991,-,-,P43007,532
PF06583,Neogenin C-terminus,pfam,family,IPR010560,-,-,P43146,1447
PF00755,Choline/Carnitine o-acyltransferase,pfam,family,IPR039551,-,-,P43155,626
PF00795,Carbon-nitrogen hydrolase,pfam,family,IPR003010,-,-,P43251,543
PF16901,C-terminal domain of alpha-glycerophosphate oxidase,pfam,family,IPR031656,-,-,P43304,727
PF03896,"Translocon-associated protein (TRAP), alpha subunit",pfam,family,IPR005595,-,-,P43307,286
PF04095,Nicotinate phosphoribosyltransferase (NAPRTase) family,pfam,family,IPR041525,-,-,P43490,491
PF00889,Elongation factor TS,pfam,family,IPR014039,-,-,P43897,325
PF01459,Eukaryotic porin,pfam,family,IPR027246,-,-,P45880,294
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,P45974,858
PF02234,Cyclin-dependent kinase inhibitor,pfam,family,IPR003175,-,-,P46527,198
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,P46736,316
PF00828,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",pfam,family,IPR021131,-,-,P46776,148
PF17144,"Ribosomal large subunit proteins 60S L5, and 50S L18",pfam,family,IPR005485,-,-,P46777,297
PF01157,Ribosomal protein L21e,pfam,family,IPR001147,-,-,P46778,160
PF01778,Ribosomal L28e protein family,pfam,family,IPR029004,-,-,P46779,137
PF00163,Ribosomal protein S4/S9 N-terminal domain,pfam,family,IPR001912,-,-,P46781,194
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,P46940,1657
PF03836,RasGAP C-terminus,pfam,family,IPR000593,-,-,P46940,1657
PF01501,Glycosyl transferase family 8,pfam,family,IPR002495,-,-,P46976,350
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,P47736,663
PF01267,F-actin capping protein alpha subunit,pfam,family,IPR002189,-,-,P47755,286
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P47869,451
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P47869,451
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P47870,512
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P47870,512
PF04557,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2",pfam,family,IPR007638,-,-,P47897,775
PF04558,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1",pfam,family,IPR007639,-,-,P47897,775
PF01779,Ribosomal L29e protein family,pfam,family,IPR002673,-,-,P47914,159
PF02921,Ubiquinol cytochrome reductase transmembrane region,pfam,family,IPR004192,-,-,P47985,274
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,P48029,635
PF00213,ATP synthase delta (OSCP) subunit,pfam,family,IPR000711,-,-,P48047,213
PF00060,Ligand-gated ion channel,pfam,family,IPR001320,-,-,P48058,902
PF01094,Receptor family ligand binding region,pfam,family,IPR001828,-,-,P48058,902
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,P48066,632
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,P48067,706
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P48169,554
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P48169,554
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase,pfam,family,IPR002498,-,-,P48426,406
PF00928,Adaptor complexes medium subunit family,pfam,family,IPR028565,-,-,P48444,511
PF03074,Glutamate-cysteine ligase,pfam,family,IPR004308,-,-,P48506,637
PF00335,Tetraspanin family,pfam,family,IPR018499,-,-,P48509,253
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,P48547,511
PF12584,"Trafficking protein particle complex subunit 10, TRAPPC10",pfam,family,IPR022233,-,-,P48553,1259
PF10075,CSN8/PSMD8/EIF3K family,pfam,family,IPR033464,-,-,P48556,350
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P48643,541
PF03034,Phosphatidyl serine synthase,pfam,family,IPR004277,-,-,P48651,473
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P48723,471
PF02121,Phosphatidylinositol transfer protein,pfam,family,IPR001666,-,-,P48739,271
PF00955,HCO3- transporter family,pfam,family,IPR011531,-,-,P48751,1232
PF02063,MARCKS family,pfam,family,IPR002101,-,-,P49006,195
PF03535,Paxillin family,pfam,family,-,-,-,P49023,591
PF14963,Get2-like,pfam,family,IPR016719,-,-,P49069,296
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P49189,494
PF01199,Ribosomal protein L34e,pfam,family,IPR008195,-,-,P49207,117
PF06026,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),pfam,family,IPR004788,-,-,P49247,311
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P49368,545
PF01245,Ribosomal protein L19,pfam,family,IPR001857,-,-,P49406,292
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P49419,539
PF00459,Inositol monophosphatase family,pfam,family,IPR000760,-,-,P49441,399
PF01411,tRNA synthetases class II (A),pfam,family,IPR018164,-,-,P49588,968
PF02272,DHHA1 domain,pfam,family,IPR003156,-,-,P49588,968
PF01406,tRNA synthetases class I (C) catalytic domain,pfam,family,IPR032678,-,-,P49589,748
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,P49593,454
PF00609,Diacylglycerol kinase accessory domain,pfam,family,IPR000756,-,-,P49619,791
PF00781,Diacylglycerol kinase catalytic domain,pfam,family,IPR001206,-,-,P49619,791
PF04775,Acyl-CoA thioester hydrolase/BAAT N-terminal region,pfam,family,IPR006862,-,-,P49753,483
PF01480,PWI domain,pfam,family,IPR002483,-,-,P49756,843
PF06311,NUMB domain,pfam,family,IPR010449,-,-,P49757,651
PF01080,Presenilin,pfam,family,IPR001108,-,-,P49768,467
PF01008,Initiation factor 2 subunit family,pfam,family,IPR000649,-,-,P49770,351
PF08604,Nucleoporin Nup153-like,pfam,family,IPR013913,-,-,P49790,1475
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,P49815,1807
PF03542,Tuberin,pfam,family,IPR018515,-,-,P49815,1807
PF11864,Domain of unknown function (DUF3384),pfam,family,IPR024584,-,-,P49815,1807
PF01512,Respiratory-chain NADH dehydrogenase 51 Kd subunit,pfam,family,IPR011538,-,-,P49821,464
PF05761,5' nucleotidase family,pfam,family,IPR008380,-,-,P49902,561
PF04675,DNA ligase N terminus,pfam,family,IPR012308,-,-,P49916,1009
PF04679,ATP dependent DNA ligase C terminal region,pfam,family,IPR012309,-,-,P49916,1009
PF16759,DNA ligase 3 BRCT domain,pfam,family,IPR031916,-,-,P49916,1009
PF01150,GDA1/CD39 (nucleoside phosphatase) family,pfam,family,IPR000407,-,-,P49961,510
PF00996,GDP dissociation inhibitor,pfam,family,IPR018203,-,-,P50395,445
PF00755,Choline/Carnitine o-acyltransferase,pfam,family,IPR039551,-,-,P50416,773
PF15936,Domain of unknown function (DUF4749),pfam,family,IPR031847,-,-,P50479,330
PF01031,Dynamin central region,pfam,family,IPR000375,-,-,P50570,870
PF02212,Dynamin GTPase effector domain,pfam,family,IPR003130,-,-,P50570,870
PF16322,Tubby N-terminal,pfam,family,IPR005398,-,-,P50607,506
PF12330,Haspin like kinase domain,pfam,family,-,-,-,P50750,372
PF00467,KOW motif,pfam,family,IPR005824,-,-,P50914,215
PF01929,Ribosomal protein L14,pfam,family,IPR002784,-,-,P50914,215
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P50990,548
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P50991,539
PF00122,E1-E2 ATPase,pfam,family,-,-,-,P50993,1020
PF00689,"Cation transporting ATPase, C-terminus",pfam,family,IPR006068,-,-,P50993,1020
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,P50993,1020
PF12235,Fragile X-related 1 protein core C terminal,pfam,family,IPR022034,-,-,P51114,621
PF16097,Fragile X-related 1 protein C-terminal region 3,pfam,family,IPR032177,-,-,P51114,621
PF12235,Fragile X-related 1 protein core C terminal,pfam,family,IPR022034,-,-,P51116,673
PF00387,"Phosphatidylinositol-specific phospholipase C, Y domain",pfam,family,IPR001711,-,-,P51178,756
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,P51178,756
PF15228,Death-associated protein,pfam,family,IPR024130,-,-,P51397,102
PF10236,Mitochondrial ribosomal death-associated protein 3,pfam,family,IPR019368,-,-,P51398,398
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P51531,1590
PF07529,HSA domain,pfam,family,IPR014012,-,-,P51531,1590
PF00288,GHMP kinases N terminal domain,pfam,family,IPR006204,-,-,P51570,392
PF08544,GHMP kinases C terminal,pfam,family,IPR013750,-,-,P51570,392
PF05404,"Translocon-associated protein, delta subunit precursor (TRAP-delta)",pfam,family,IPR008855,-,-,P51571,173
PF05529,Bap31/Bap29 transmembrane region,pfam,family,IPR040463,-,-,P51572,246
PF05724,Thiopurine S-methyltransferase (TPMT),pfam,family,IPR008854,-,-,P51580,245
PF13844,Glycosyl transferase family 41,pfam,family,IPR029489,-,-,P51610,2035
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P51648,485
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P51649,535
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,P51665,324
PF13012,Maintenance of mitochondrial structure and function,pfam,family,IPR024969,-,-,P51665,324
PF01275,Myelin proteolipid protein (PLP or lipophilin),pfam,family,IPR001614,-,-,P51674,278
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P51688,502
PF16347,"N-sulphoglucosamine sulphohydrolase, C-terminal",pfam,family,IPR032506,-,-,P51688,502
PF01017,"STAT protein, all-alpha domain",pfam,family,IPR013800,-,-,P51692,787
PF10515,Beta-amyloid precursor protein C-terminus,pfam,family,IPR019543,-,-,P51693,650
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,P51784,963
PF14533,Ubiquitin-specific protease C-terminal,pfam,family,IPR029346,-,-,P51784,963
PF00654,Voltage gated chloride channel,pfam,family,IPR001807,-,-,P51790,818
PF00654,Voltage gated chloride channel,pfam,family,IPR001807,-,-,P51793,760
PF00654,Voltage gated chloride channel,pfam,family,IPR001807,-,-,P51797,869
PF03645,Tctex-1 family,pfam,family,IPR005334,-,-,P51808,116
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,P51809,220
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,P51812,740
PF01462,Leucine rich repeat N-terminal domain,pfam,family,IPR000372,-,-,P51884,338
PF00609,Diacylglycerol kinase accessory domain,pfam,family,IPR000756,-,-,P52429,567
PF00781,Diacylglycerol kinase catalytic domain,pfam,family,IPR001206,-,-,P52429,567
PF03870,RNA polymerase Rpb8,pfam,family,IPR005570,-,-,P52434,150
PF01017,"STAT protein, all-alpha domain",pfam,family,IPR013800,-,-,P52630,851
PF00609,Diacylglycerol kinase accessory domain,pfam,family,IPR000756,-,-,P52824,942
PF00781,Diacylglycerol kinase catalytic domain,pfam,family,IPR001206,-,-,P52824,942
PF01432,Peptidase family M3,pfam,family,IPR001567,-,-,P52888,689
PF01267,F-actin capping protein alpha subunit,pfam,family,IPR002189,-,-,P52907,286
PF04096,Nucleoporin autopeptidase,pfam,family,IPR007230,-,-,P52948,1817
PF01408,"Oxidoreductase family, NAD-binding Rossmann fold",pfam,family,IPR000683,-,-,P53004,296
PF10609,NUBPL iron-transfer P-loop NTPase,pfam,family,IPR033756,-,-,P53384,320
PF00288,GHMP kinases N terminal domain,pfam,family,IPR006204,-,-,P53602,400
PF00928,Adaptor complexes medium subunit family,pfam,family,IPR028565,-,-,P53677,418
PF01265,Cytochrome c/c1 heme lyase,pfam,family,IPR000511,-,-,P53701,268
PF04847,Calcipressin,pfam,family,IPR006931,-,-,P53805,252
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,P53985,500
PF03398,Regulator of Vps4 activity in the MVB pathway,pfam,family,IPR005061,-,-,P53990,364
PF00750,tRNA synthetases class I (R),pfam,family,IPR035684,-,-,P54136,660
PF08399,VWA N-terminal,pfam,family,IPR013608,-,-,P54289,1103
PF08473,Neuronal voltage-dependent calcium channel alpha 2acd,pfam,family,IPR013680,-,-,P54289,1103
PF00579,tRNA synthetases class I (W and Y),pfam,family,IPR002305,-,-,P54577,528
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,P54578,494
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P54652,639
PF00287,Sodium / potassium ATPase beta chain,pfam,family,IPR000402,-,-,P54709,279
PF00522,VPR/VPX protein,pfam,family,IPR000012,-,-,P54725,363
PF08499,3'5'-cyclic nucleotide phosphodiesterase N-terminal,pfam,family,IPR013706,-,-,P54750,535
PF02057,Glycosyl hydrolase family 59,pfam,family,IPR049161,-,-,P54803,685
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P54886,795
PF00696,Amino acid kinase family,pfam,family,IPR001048,-,-,P54886,795
PF01873,Domain found in IF2B/IF5,pfam,family,IPR002735,-,-,P55010,431
PF03522,Solute carrier family 12,pfam,family,IPR018491,-,-,P55011,1212
PF08403,Amino acid permease N-terminal,pfam,family,IPR013612,-,-,P55011,1212
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,P55039,364
PF16897,C-terminal region of MMR_HSR1 domain,pfam,family,IPR031662,-,-,P55039,364
PF01273,"LBP / BPI / CETP family, N-terminal domain",pfam,family,IPR017942,-,-,P55058,493
PF00230,Major intrinsic protein,pfam,family,IPR000425,-,-,P55087,323
PF09735,Nck-associated protein 1,pfam,family,IPR019137,-,-,P55160,1127
PF00498,FHA domain,pfam,family,IPR000253,-,-,P55196,1824
PF00956,Nucleosome assembly protein (NAP),pfam,family,IPR002164,-,-,P55209,391
PF02137,Adenosine-deaminase (editase) domain,pfam,family,IPR002466,-,-,P55265,1226
PF01049,"Cadherin, Y-type LIR-motif",pfam,family,IPR000233,-,-,P55283,916
PF01049,"Cadherin, Y-type LIR-motif",pfam,family,IPR000233,-,-,P55285,790
PF01049,"Cadherin, Y-type LIR-motif",pfam,family,IPR000233,-,-,P55286,799
PF01049,"Cadherin, Y-type LIR-motif",pfam,family,IPR000233,-,-,P55287,796
PF04201,Tumour protein D52 family,pfam,family,IPR007327,-,-,P55327,224
PF04777,Erv1 / Alr family,pfam,family,IPR017905,-,-,P55789,205
PF15880,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",pfam,family,IPR026193,-,-,P56181,108
PF09334,tRNA synthetases class I (M),pfam,family,IPR015413,-,-,P56192,900
PF04667,cAMP-regulated phosphoprotein/endosulfine conserved region,pfam,family,IPR006760,-,-,P56211,112
PF08039,Mitochondrial proteolipid,pfam,family,IPR012574,-,-,P56378,58
PF04627,Mitochondrial ATP synthase epsilon chain,pfam,family,IPR006721,-,-,P56381,51
PF05680,ATP synthase E chain,pfam,family,IPR008386,-,-,P56385,69
PF12203,Glutamine rich N terminal domain of histone deacetylase 4,pfam,family,IPR024643,-,-,P56524,1084
PF01912,eIF-6 family,pfam,family,IPR002769,-,-,P56537,245
PF13233,Complex1_LYR-like,pfam,family,-,-,-,P56556,128
PF04882,Peroxin-3,pfam,family,IPR006966,-,-,P56589,373
PF00026,Eukaryotic aspartyl protease,pfam,family,IPR033121,-,-,P56817,501
PF03661,Transmembrane protein 33/Nucleoporin POM33,pfam,family,IPR005344,-,-,P57088,247
PF01699,Sodium/calcium exchanger protein,pfam,family,IPR004837,-,-,P57103,927
