,,,,domain,,,Uniprot,
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P07910,306
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P07947,543
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P07947,543
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P07947,543
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P07948,512
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P07948,512
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P07948,512
PF00206,Lyase,pfam,domain,IPR022761,-,-,P07954,510
PF10415,Fumarase C C-terminus,pfam,domain,IPR018951,-,-,P07954,510
PF00090,Thrombospondin type 1 domain,pfam,domain,IPR000884,-,-,P07996,1170
PF00093,von Willebrand factor type C domain,pfam,domain,IPR001007,-,-,P07996,1170
PF02210,Laminin G domain,pfam,domain,IPR001791,-,-,P07996,1170
PF02412,Thrombospondin type 3 repeat,pfam,domain,IPR003367,-,-,P07996,1170
PF12947,EGF domain,pfam,domain,IPR024731,-,-,P07996,1170
PF00074,Pancreatic ribonuclease,pfam,domain,IPR023412,-,-,P07998,156
PF00191,Annexin,pfam,domain,IPR018502,-,-,P08133,673
PF00071,Ras family,pfam,domain,IPR001806,-,-,P08134,193
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,P08174,381
PF00005,ABC transporter,pfam,domain,IPR003439,-,-,P08183,1280
PF00128,"Alpha amylase, catalytic domain",pfam,domain,IPR006047,-,-,P08195,630
PF00365,Phosphofructokinase,pfam,domain,IPR000023,-,-,P08237,780
PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,-,-,-,P08238,724
PF00448,"SRP54-type protein, GTPase domain",pfam,domain,IPR000897,-,-,P08240,638
PF02881,"SRP54-type protein, helical bundle domain",pfam,domain,IPR013822,-,-,P08240,638
PF00733,Asparagine synthase,pfam,domain,IPR001962,-,-,P08243,561
PF13537,Glutamine amidotransferase domain,pfam,domain,IPR017932,-,-,P08243,561
PF01284,Membrane-associating domain,pfam,domain,IPR008253,-,-,P08247,313
PF00080,Copper/zinc superoxide dismutase (SODC),pfam,domain,IPR001424,-,-,P08294,240
PF01379,"Porphobilinogen deaminase, dipyromethane cofactor binding domain",pfam,domain,IPR022417,-,-,P08397,361
PF03900,"Porphobilinogen deaminase, C-terminal domain",pfam,domain,IPR022418,-,-,P08397,361
PF00169,PH domain,pfam,domain,IPR001849,-,-,P08567,350
PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",pfam,domain,IPR000591,-,-,P08567,350
PF01413,C-terminal tandem repeated domain in type 4 procollagen,pfam,domain,IPR001442,-,-,P08572,1712
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P08575,1306
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P08575,1306
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P08579,225
PF00405,Transferrin,pfam,domain,IPR001156,-,-,P08582,738
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,P08603,1231
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P08621,437
PF00079,Serpin (serine protease inhibitor),pfam,domain,IPR023796,-,-,P08697,491
PF00503,G-protein alpha subunit,pfam,domain,IPR001019,-,-,P08754,354
PF00191,Annexin,pfam,domain,IPR018502,-,-,P08758,320
PF14707,C-terminal region of aryl-sulfatase,pfam,domain,-,-,-,P08842,583
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P09012,282
PF00167,Fibroblast growth factor,pfam,domain,IPR002209,-,-,P09038,288
PF00113,"Enolase, C-terminal TIM barrel domain",pfam,domain,IPR020810,-,-,P09104,434
PF03952,"Enolase, N-terminal domain",pfam,domain,IPR020811,-,-,P09104,434
PF00108,"Thiolase, N-terminal domain",pfam,domain,IPR020616,-,-,P09110,424
PF02803,"Thiolase, C-terminal domain",pfam,domain,IPR020617,-,-,P09110,424
PF00043,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,P09211,210
PF02798,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,P09211,210
PF14497,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,P09211,210
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P09234,159
PF06220,U1 zinc finger,pfam,domain,IPR013085,-,-,P09234,159
PF00337,Galactoside-binding lectin,pfam,domain,IPR001079,-,-,P09382,135
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,P09417,244
PF00505,HMG (high mobility group) box,pfam,domain,IPR009071,-,-,P09429,215
PF09011,HMG-box domain,pfam,domain,IPR009071,-,-,P09429,215
PF00061,Lipocalin / cytosolic fatty-acid binding protein family,pfam,domain,IPR000566,-,-,P09455,135
PF00316,"Fructose-1-6-bisphosphatase, N-terminal domain",pfam,domain,IPR033391,-,-,P09467,338
PF18913,"Fructose-1-6-bisphosphatase, C-terminal domain",pfam,domain,IPR044015,-,-,P09467,338
PF00503,G-protein alpha subunit,pfam,domain,IPR001019,-,-,P09471,354
PF00050,Kazal-type serine protease inhibitor domain,pfam,domain,IPR002350,-,-,P09486,303
PF09289,Follistatin/Osteonectin-like EGF domain,pfam,domain,IPR015369,-,-,P09486,303
PF10591,Secreted protein acidic and rich in cysteine Ca binding region,pfam,domain,IPR019577,-,-,P09486,303
PF00043,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,P09488,218
PF02798,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,P09488,218
PF00191,Annexin,pfam,domain,IPR018502,-,-,P09525,319
PF13671,AAA domain,pfam,domain,-,-,-,P09543,421
PF01126,Heme oxygenase,pfam,domain,IPR016053,-,-,P09601,288
PF00047,Immunoglobulin domain,pfam,domain,IPR013151,-,-,P09619,1106
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P09619,1106
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P09619,1106
PF02852,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",pfam,domain,IPR004099,-,-,P09622,509
PF07992,Pyridine nucleotide-disulphide oxidoreductase,pfam,domain,IPR023753,-,-,P09622,509
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P09651,372
PF11627,"Heterogeneous nuclear ribonucleoprotein A1, LC domain",pfam,domain,IPR021662,-,-,P09651,372
PF00112,Papain family cysteine protease,pfam,domain,IPR000668,-,-,P09668,335
PF08246,Cathepsin propeptide inhibitor domain (I29),pfam,domain,IPR013201,-,-,P09668,335
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,P09871,688
PF00089,Trypsin,pfam,domain,IPR001254,-,-,P09871,688
PF00431,CUB domain,pfam,domain,IPR000859,-,-,P09871,688
PF14670,Coagulation Factor Xa inhibitory site,pfam,domain,-,-,-,P09871,688
PF00645,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region,pfam,domain,IPR001510,-,-,P09874,1014
PF02877,"Poly(ADP-ribose) polymerase, regulatory domain",pfam,domain,IPR004102,-,-,P09874,1014
PF05406,WGR domain,pfam,domain,IPR008893,-,-,P09874,1014
PF08063,"PADR1 domain, zinc ribbon fold",pfam,domain,IPR012982,-,-,P09874,1014
PF21728,"PADR1, N-terminal helical domain",pfam,domain,IPR049296,-,-,P09874,1014
PF01088,"Ubiquitin carboxyl-terminal hydrolase, family 1",pfam,domain,IPR001578,-,-,P09936,223
PF01433,Peptidase family M1 domain,pfam,domain,IPR014782,-,-,P09960,611
PF17900,Peptidase M1 N-terminal domain,pfam,domain,IPR045357,-,-,P09960,611
PF00274,Fructose-bisphosphate aldolase class-I,pfam,domain,IPR000741,-,-,P09972,364
PF01759,UNC-6/NTR/C345C module,pfam,domain,IPR018933,-,-,P0C0L4,1744
PF01821,Anaphylotoxin-like domain,pfam,domain,IPR000020,-,-,P0C0L4,1744
PF01835,MG2 domain,pfam,domain,IPR002890,-,-,P0C0L4,1744
PF07677,A-macroglobulin receptor binding domain,pfam,domain,IPR009048,-,-,P0C0L4,1744
PF07703,Alpha-2-macroglobulin bait region domain,pfam,domain,IPR011625,-,-,P0C0L4,1744
PF17789,Macroglobulin domain MG4,pfam,domain,IPR040839,-,-,P0C0L4,1744
PF17791,Macroglobulin domain MG3,pfam,domain,IPR041555,-,-,P0C0L4,1744
PF21145,"Complement C4, MG1 domain",pfam,domain,IPR048847,-,-,P0C0L4,1744
PF01759,UNC-6/NTR/C345C module,pfam,domain,IPR018933,-,-,P0C0L5,1744
PF01821,Anaphylotoxin-like domain,pfam,domain,IPR000020,-,-,P0C0L5,1744
PF01835,MG2 domain,pfam,domain,IPR002890,-,-,P0C0L5,1744
PF07677,A-macroglobulin receptor binding domain,pfam,domain,IPR009048,-,-,P0C0L5,1744
PF07703,Alpha-2-macroglobulin bait region domain,pfam,domain,IPR011625,-,-,P0C0L5,1744
PF17789,Macroglobulin domain MG4,pfam,domain,IPR040839,-,-,P0C0L5,1744
PF17791,Macroglobulin domain MG3,pfam,domain,IPR041555,-,-,P0C0L5,1744
PF21145,"Complement C4, MG1 domain",pfam,domain,IPR048847,-,-,P0C0L5,1744
PF00125,Core histone H2A/H2B/H3/H4,pfam,domain,IPR007125,-,-,P0C0S5,128
PF00059,Lectin C-type domain,pfam,domain,IPR001304,-,-,P0C7M8,214
PF09360,Iron-binding zinc finger CDGSH type,pfam,domain,IPR018967,-,-,P0C7P0,127
PF13621,Cupin-like domain,pfam,domain,IPR041667,-,-,P0C870,316
PF00043,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,P0CG29,244
PF02798,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,P0CG29,244
PF00067,Cytochrome P450,pfam,domain,IPR001128,-,-,P10109,184
PF00111,2Fe-2S iron-sulfur cluster binding domain,pfam,domain,IPR001041,-,-,P10109,184
PF00071,Ras family,pfam,domain,IPR001806,-,-,P10114,183
PF05731,TROVE domain,pfam,domain,IPR008858,-,-,P10155,538
PF00088,Trefoil (P-type) domain,pfam,domain,IPR000519,-,-,P10253,952
PF01055,Glycosyl hydrolases family 31 TIM-barrel domain,pfam,domain,IPR000322,-,-,P10253,952
PF13802,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,pfam,domain,IPR025887,-,-,P10253,952
PF21365,Glycosyl hydrolase family 31 C-terminal domain,pfam,domain,IPR048395,-,-,P10253,952
PF00071,Ras family,pfam,domain,IPR001806,-,-,P10301,218
PF00538,linker histone H1 and H5 family,pfam,domain,IPR005818,-,-,P10412,219
PF00198,2-oxoacid dehydrogenases acyltransferase (catalytic domain),pfam,domain,IPR001078,-,-,P10515,647
PF00364,Biotin-requiring enzyme,pfam,domain,IPR000089,-,-,P10515,647
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P10586,1907
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P10586,1907
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,P10586,1907
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,P10599,105
PF01215,Cytochrome c oxidase subunit Vb,pfam,domain,IPR002124,-,-,P10606,129
PF00450,Serine carboxypeptidase,pfam,domain,IPR001563,-,-,P10619,480
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,P10643,843
PF00090,Thrombospondin type 1 domain,pfam,domain,IPR000884,-,-,P10643,843
PF01823,MAC/Perforin domain,pfam,domain,IPR020864,-,-,P10643,843
PF18434,Kazal-type serine protease inhibitor domain,pfam,domain,IPR040729,-,-,P10643,843
PF21284,"Complement component C7, FIM2 N-terminal",pfam,domain,IPR048827,-,-,P10643,843
PF21330,"Complement component C7, Kazal domain",pfam,domain,IPR048825,-,-,P10643,843
PF00027,Cyclic nucleotide-binding domain,pfam,domain,IPR000595,-,-,P10644,381
PF02197,Regulatory subunit of type II PKA R-subunit,pfam,domain,IPR003117,-,-,P10644,381
PF00756,Putative esterase,pfam,domain,IPR000801,-,-,P10768,282
PF00193,Extracellular link domain,pfam,domain,IPR000538,-,-,P10915,354
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,P10915,354
PF00569,"Zinc finger, ZZ type",pfam,domain,IPR000433,-,-,P11021,654
PF00052,Laminin B (Domain IV),pfam,domain,IPR000034,-,-,P11047,1609
PF00053,Laminin EGF domain,pfam,domain,IPR002049,-,-,P11047,1609
PF00055,Laminin N-terminal (Domain VI),pfam,domain,IPR008211,-,-,P11047,1609
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,P11171,864
PF05902,4.1 protein C-terminal domain (CTD),pfam,domain,IPR008379,-,-,P11171,864
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,P11171,864
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,P11171,864
PF00156,Phosphoribosyl transferase domain,pfam,domain,IPR000836,-,-,P11172,480
PF00215,Orotidine 5'-phosphate decarboxylase / HUMPS family,pfam,domain,IPR001754,-,-,P11172,480
PF02779,"Transketolase, pyrimidine binding domain",pfam,domain,IPR005475,-,-,P11177,359
PF02780,"Transketolase, C-terminal domain",pfam,domain,IPR033248,-,-,P11177,359
PF00198,2-oxoacid dehydrogenases acyltransferase (catalytic domain),pfam,domain,IPR001078,-,-,P11182,482
PF00364,Biotin-requiring enzyme,pfam,domain,IPR000089,-,-,P11182,482
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P11215,1152
PF08441,Integrin alpha Ig-like domain 1,pfam,domain,IPR013649,-,-,P11215,1152
PF20805,Integrin alpha Ig-like domain 2,pfam,domain,IPR048285,-,-,P11215,1152
PF21520,"Integrin alpha-X-like, Ig-like domain 3",pfam,domain,IPR048633,-,-,P11215,1152
PF00959,Phage lysozyme,pfam,domain,IPR002196,-,-,P11229,460
PF00071,Ras family,pfam,domain,IPR001806,-,-,P11233,206
PF00071,Ras family,pfam,domain,IPR001806,-,-,P11234,206
PF00168,C2 domain,pfam,domain,IPR000008,-,-,P11274,1271
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,P11274,1271
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,P11274,1271
PF09036,Bcr-Abl oncoprotein oligomerisation domain,pfam,domain,IPR015123,-,-,P11274,1271
PF19057,PH domain,pfam,domain,-,-,-,P11274,1271
PF21222,"Lysosome-associated membrane glycoprotein 2, transmembrane segment",pfam,domain,IPR048524,-,-,P11279,417
PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",pfam,domain,IPR009075,-,-,P11310,421
PF02770,"Acyl-CoA dehydrogenase, middle domain",pfam,domain,IPR006091,-,-,P11310,421
PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",pfam,domain,IPR013786,-,-,P11310,421
PF01028,"Eukaryotic DNA topoisomerase I, catalytic core",pfam,domain,IPR013500,-,-,P11387,765
PF00479,"Glucose-6-phosphate dehydrogenase, NAD binding domain",pfam,domain,IPR022674,-,-,P11413,515
PF02781,"Glucose-6-phosphate dehydrogenase, C-terminal domain",pfam,domain,IPR022675,-,-,P11413,515
PF00240,Ubiquitin family,pfam,domain,IPR000626,-,-,P11441,157
PF17840,Tethering Ubl4a to BAGS domain,pfam,domain,IPR041421,-,-,P11441,157
PF00289,"Biotin carboxylase, N-terminal domain",pfam,domain,IPR005481,-,-,P11498,1178
PF00364,Biotin-requiring enzyme,pfam,domain,IPR000089,-,-,P11498,1178
PF00682,HMGL-like,pfam,domain,IPR000891,-,-,P11498,1178
PF02436,Conserved carboxylase domain,pfam,domain,IPR003379,-,-,P11498,1178
PF02785,Biotin carboxylase C-terminal domain,pfam,domain,IPR005482,-,-,P11498,1178
PF02786,"Carbamoyl-phosphate synthase L chain, ATP binding domain",pfam,domain,IPR005479,-,-,P11498,1178
PF00763,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",pfam,domain,IPR020630,-,-,P11586,935
PF02882,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",pfam,domain,IPR020631,-,-,P11586,935
PF00107,Zinc-binding dehydrogenase,pfam,domain,IPR013149,-,-,P11766,374
PF08240,Alcohol dehydrogenase GroES-like domain,pfam,domain,IPR013154,-,-,P11766,374
PF13793,N-terminal domain of ribose phosphate pyrophosphokinase,pfam,domain,IPR029099,-,-,P11908,318
PF14572,Phosphoribosyl synthetase-associated domain,pfam,domain,IPR005946,-,-,P11908,318
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P11940,636
PF00705,"Proliferating cell nuclear antigen, N-terminal domain",pfam,domain,IPR022648,-,-,P12004,261
PF02747,"Proliferating cell nuclear antigen, C-terminal domain",pfam,domain,IPR022649,-,-,P12004,261
PF00458,WHEP-TRS domain,pfam,domain,IPR000738,-,-,P12081,509
PF03129,Anticodon binding domain,pfam,domain,IPR004154,-,-,P12081,509
PF13393,Histidyl-tRNA synthetase,pfam,domain,IPR041715,-,-,P12081,509
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P12109,1028
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P12110,1019
PF00478,IMP dehydrogenase / GMP reductase domain,pfam,domain,IPR001093,-,-,P12268,514
PF00571,CBS domain,pfam,domain,IPR000644,-,-,P12268,514
PF00650,CRAL/TRIO domain,pfam,domain,IPR001251,-,-,P12271,317
PF03765,"CRAL/TRIO, N-terminal domain",pfam,domain,IPR011074,-,-,P12271,317
PF00217,"ATP:guanido phosphotransferase, C-terminal catalytic domain",pfam,domain,IPR022414,-,-,P12277,381
PF02807,"ATP:guanido phosphotransferase, N-terminal domain",pfam,domain,IPR022413,-,-,P12277,381
PF00047,Immunoglobulin domain,pfam,domain,IPR013151,-,-,P12314,374
PF13895,Immunoglobulin domain,pfam,domain,-,-,-,P12314,374
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P12314,374
PF00191,Annexin,pfam,domain,IPR018502,-,-,P12429,323
PF00217,"ATP:guanido phosphotransferase, C-terminal catalytic domain",pfam,domain,IPR022414,-,-,P12532,417
PF02807,"ATP:guanido phosphotransferase, N-terminal domain",pfam,domain,IPR022413,-,-,P12532,417
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,P12814,892
PF00435,Spectrin repeat,pfam,domain,IPR002017,-,-,P12814,892
PF08726,Ca2+ insensitive EF hand,pfam,domain,IPR014837,-,-,P12814,892
PF13405,EF-hand domain,pfam,domain,IPR002048,-,-,P12814,892
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P12814,892
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P12931,536
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P12931,536
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P12931,536
PF00557,Metallopeptidase family M24,pfam,domain,IPR000994,-,-,P12955,493
PF05195,"Aminopeptidase P, N-terminal domain",pfam,domain,IPR007865,-,-,P12955,493
PF02037,SAP domain,pfam,domain,IPR003034,-,-,P12956,609
PF02735,Ku70/Ku80 beta-barrel domain,pfam,domain,IPR006164,-,-,P12956,609
PF03731,Ku70/Ku80 N-terminal alpha/beta domain,pfam,domain,IPR005161,-,-,P12956,609
PF02735,Ku70/Ku80 beta-barrel domain,pfam,domain,IPR006164,-,-,P13010,732
PF03731,Ku70/Ku80 N-terminal alpha/beta domain,pfam,domain,IPR005161,-,-,P13010,732
PF08785,Ku C terminal domain like,pfam,domain,IPR014893,-,-,P13010,732
PF03167,Uracil DNA glycosylase superfamily,pfam,domain,IPR005122,-,-,P13051,313
PF21222,"Lysosome-associated membrane glycoprotein 2, transmembrane segment",pfam,domain,IPR048524,-,-,P13473,410
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P13591,858
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,P13591,858
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P13591,858
PF00690,"Cation transporter/ATPase, N-terminus",pfam,domain,IPR004014,-,-,P13637,1013
PF00009,Elongation factor Tu GTP binding domain,pfam,domain,IPR000795,-,-,P13639,858
PF00679,Elongation factor G C-terminus,pfam,domain,IPR000640,-,-,P13639,858
PF03144,Elongation factor Tu domain 2,pfam,domain,IPR004161,-,-,P13639,858
PF03764,"Elongation factor G, domain IV",pfam,domain,IPR005517,-,-,P13639,858
PF14492,"Elongation Factor G, domain III",pfam,domain,IPR041095,-,-,P13639,858
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,P13667,645
PF13848,Thioredoxin-like domain,pfam,domain,-,-,-,P13667,645
PF13640,2OG-Fe(II) oxygenase superfamily,pfam,domain,IPR044862,-,-,P13674,534
PF00838,Translationally controlled tumour protein,pfam,domain,IPR018105,-,-,P13693,172
PF00490,Delta-aminolevulinic acid dehydratase,pfam,domain,IPR001731,-,-,P13716,330
PF09294,"Interferon-alpha/beta receptor, fibronectin type III",pfam,domain,IPR015373,-,-,P13726,295
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,P13796,627
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P13796,627
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,P13797,630
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P13797,630
PF00326,Prolyl oligopeptidase family,pfam,domain,IPR001375,-,-,P13798,732
PF00766,Electron transfer flavoprotein FAD-binding domain,pfam,domain,IPR014731,-,-,P13804,333
PF01012,Electron transfer flavoprotein domain,pfam,domain,IPR014730,-,-,P13804,333
PF00027,Cyclic nucleotide-binding domain,pfam,domain,IPR000595,-,-,P13861,404
PF02197,Regulatory subunit of type II PKA R-subunit,pfam,domain,IPR003117,-,-,P13861,404
PF02216,B domain,pfam,domain,IPR003132,-,-,P13861,404
PF00113,"Enolase, C-terminal TIM barrel domain",pfam,domain,IPR020810,-,-,P13929,434
PF03952,"Enolase, N-terminal domain",pfam,domain,IPR020811,-,-,P13929,434
PF02270,"TFIIF, beta subunit HTH domain",pfam,domain,IPR040450,-,-,P13984,249
PF00021,u-PAR/Ly-6 domain,pfam,domain,IPR016054,-,-,P13987,128
PF01187,Macrophage migration inhibitory factor (MIF),pfam,domain,IPR001398,-,-,P14174,115
PF03024,Folate receptor family,pfam,domain,IPR018143,-,-,P14207,255
PF13202,EF hand,pfam,domain,IPR002048,-,-,P14314,528
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P14317,486
PF00348,Polyprenyl synthetase,pfam,domain,IPR000092,-,-,P14324,419
PF00246,Zinc carboxypeptidase,pfam,domain,IPR000834,-,-,P14384,443
PF13620,Carboxypeptidase regulatory-like domain,pfam,domain,-,-,-,P14384,443
PF00086,Thyroglobulin type-1 repeat,pfam,domain,IPR000716,-,-,P14543,1247
PF07474,G2F domain,pfam,domain,IPR006605,-,-,P14543,1247
PF07645,Calcium-binding EGF domain,pfam,domain,IPR049883,-,-,P14543,1247
PF12662,Complement Clr-like EGF-like,pfam,domain,IPR026823,-,-,P14543,1247
PF12947,EGF domain,pfam,domain,IPR024731,-,-,P14543,1247
PF14670,Coagulation Factor Xa inhibitory site,pfam,domain,-,-,-,P14543,1247
PF00248,Aldo/keto reductase family,pfam,domain,IPR023210,-,-,P14550,325
PF00224,"Pyruvate kinase, barrel domain",pfam,domain,IPR015793,-,-,P14618,531
PF02887,"Pyruvate kinase, alpha/beta domain",pfam,domain,IPR015795,-,-,P14618,531
PF00708,Acylphosphatase,pfam,domain,IPR001792,-,-,P14621,99
PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,-,-,-,P14625,803
PF01423,LSM domain,pfam,domain,IPR001163,-,-,P14678,240
PF05193,Peptidase M16 inactive domain,pfam,domain,IPR007863,-,-,P14735,1019
PF00040,Fibronectin type II domain,pfam,domain,IPR000562,-,-,P14780,707
PF00413,Matrixin,pfam,domain,IPR001818,-,-,P14780,707
PF02297,Cytochrome oxidase c subunit VIb,pfam,domain,IPR048280,-,-,P14854,86
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P14866,589
PF11835,RRM-like domain,pfam,domain,IPR021790,-,-,P14866,589
PF13893,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",pfam,domain,-,-,-,P14866,589
PF00152,"tRNA synthetases class II (D, K and N)",pfam,domain,IPR004364,-,-,P14868,501
PF01336,OB-fold nucleic acid binding domain,pfam,domain,IPR004365,-,-,P14868,501
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,P15056,766
PF02196,Raf-like Ras-binding domain,pfam,domain,IPR003116,-,-,P15056,766
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P15056,766
PF20406,Kinase suppressor RAS 1 N-terminal helical hairpin,pfam,domain,IPR046861,-,-,P15056,766
PF00120,"Glutamine synthetase, catalytic domain",pfam,domain,IPR008146,-,-,P15104,373
PF03951,"Glutamine synthetase, beta-Grasp domain",pfam,domain,IPR008147,-,-,P15104,373
PF00248,Aldo/keto reductase family,pfam,domain,IPR023210,-,-,P15121,316
PF01433,Peptidase family M1 domain,pfam,domain,IPR014782,-,-,P15144,967
PF11838,ERAP1-like C-terminal domain,pfam,domain,IPR024571,-,-,P15144,967
PF17900,Peptidase M1 N-terminal domain,pfam,domain,IPR045357,-,-,P15144,967
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,P15151,417
PF08205,CD80-like C2-set immunoglobulin domain,pfam,domain,IPR013162,-,-,P15151,417
PF00009,Elongation factor Tu GTP binding domain,pfam,domain,IPR000795,-,-,P15170,499
PF03143,Elongation factor Tu C-terminal domain,pfam,domain,IPR004160,-,-,P15170,499
PF03144,Elongation factor Tu domain 2,pfam,domain,IPR004161,-,-,P15170,499
PF00300,Histidine phosphatase superfamily (branch 1),pfam,domain,IPR013078,-,-,P15259,253
PF14707,C-terminal region of aryl-sulfatase,pfam,domain,-,-,-,P15289,507
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,P15311,586
PF00769,Ezrin/radixin/moesin family C terminal,pfam,domain,IPR011259,-,-,P15311,586
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,P15311,586
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,P15311,586
PF01088,"Ubiquitin carboxyl-terminal hydrolase, family 1",pfam,domain,IPR001578,-,-,P15374,230
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,P15529,392
PF00334,Nucleoside diphosphate kinase,pfam,domain,IPR034907,-,-,P15531,152
PF02525,Flavodoxin-like fold,pfam,domain,IPR003680,-,-,P15559,274
PF00333,"Ribosomal protein S5, N-terminal domain",pfam,domain,IPR013810,-,-,P15880,293
PF03719,"Ribosomal protein S5, C-terminal domain",pfam,domain,IPR005324,-,-,P15880,293
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P15882,459
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,P15882,459
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,P15882,459
PF08784,Replication protein A C terminal,pfam,domain,IPR014892,-,-,P15927,270
PF00965,Tissue inhibitor of metalloproteinase,pfam,domain,IPR001820,-,-,P16035,220
PF00193,Extracellular link domain,pfam,domain,IPR000538,-,-,P16070,742
PF02525,Flavodoxin-like fold,pfam,domain,IPR003680,-,-,P16083,231
PF00125,Core histone H2A/H2B/H3/H4,pfam,domain,IPR007125,-,-,P16104,143
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P16144,1822
